---
source: R[v4.3.1]::data.table[v1.14.8]::fwrite
creation_time_utc: 2023-09-17 13:06:41
schema:
  fields:
  - name: CL
    type: character
  - name: SC
    type: factor
  - name: GSC
    type: factor
  - name: LnA
    type: numeric
  - name: LnV
    type: numeric
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
CL,SC,GSC,LnA,LnV
data,C,DE,-4.11770446306424,-4.04471295947137
data,C,BC,-2.86255132469764,-2.36265052833922
data,C,BC,-4.03545404099949,-4.04858200570833
data,D,DE,-3.66412366998512,-3.44896662048923
data,D,DE,-2.60622220108682,-3.58808978729551
data,D,DE,-1.77981920685589,-1.4896707016105
data,C,BC,-3.05198461016246,-3.04448658688355
data,D,DE,-2.80019365232563,-3.36349649304477
data,C,BC,-2.62609883637564,-2.68463143951779
data,C,BC,-2.41028717423918,-2.62566966689152
data,D,DE,-5.79303626243561,-6.83879465989863
data,D,DE,-3.64276151835898,-4.55919870904339
data,C,DE,-2.82702726440553,-3.74947263565056
data,D,DE,-2.42750401225269,-2.09996672102663
data,C,DE,-3.44616922781311,-3.84091376381157
data,C,BC,-4.89318911117753,-4.77038556282045
data,C,DE,-4.05920975069289,-3.49862513868013
data,D,DE,-3.92852989490299,-3.62297661375965
data,C,BC,-2.18499718665734,-2.59602325854704
data,C,BC,-3.64680049035387,-4.47780528998939
data,D,DE,-2.52132168025476,-2.37943635400179
data,D,DE,-3.77326149262428,-4.57645062789161
data,C,BC,-3.45516663729015,-3.33794488042554
data,D,DE,-4.08910808936833,-3.58792724221869
data,D,DE,-5.071735478188,-5.83452053966183
data,C,BC,-3.82022528025921,-3.68478081270739
data,D,DE,-3.1937828247848,-4.57884275581947
data,C,BC,-2.5093799021834,-2.12628047456172
data,D,DE,-3.47175475240092,-4.71731180018871
data,D,DE,-4.81281905288119,-5.21030509236236
data,C,BC,-2.15958040198994,-2.22837462217844
data,D,DE,-3.20006615465192,-4.25151014005785
data,D,DE,-4.03553274704979,-2.93182017336262
data,C,BC,-2.70003400153238,-2.89425419492126
data,B,BC,-2.76165198485926,-3.33351077474892
data,C,DE,-4.61679314597644,-4.0701366180768
data,D,DE,-1.85954920291366,-1.01454902205304
data,D,DE,-2.91091199184296,-2.56543886547194
data,C,DE,-5.32544980075023,-5.76497357635881
data,D,DE,-4.09962388290435,-4.49617414525449
data,C,DE,-3.27267161057832,-3.17297221111842
data,C,BC,-4.44830278079196,-4.14899486519386
data,D,DE,-1.33448366785905,-1.27554220162705
data,C,BC,-4.47997736482987,-4.9007769134893
data,C,DE,-1.2251036108258,-1.60624922315853
data,C,BC,-2.44795350981798,-2.00149738433389
data,C,BC,-4.20882250273912,-4.97212303371569
data,D,DE,-2.21311721829903,-1.5266798732355
data,D,DE,-4.95376506548641,-3.99786658584481
data,C,DE,-2.95086796008785,-2.9673441590799
data,C,DE,-3.55598205816454,-4.37782783277934
data,D,DE,-4.63579482642528,-3.37217618323663
