---
source: R[v4.3.1]::data.table[v1.14.8]::fwrite
creation_time_utc: 2023-09-17 13:06:40
schema:
  fields:
  - name: CL
    type: character
  - name: SC
    type: factor
  - name: LnA
    type: numeric
  - name: A
    type: numeric
  - name: LnC
    type: numeric
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
CL,SC,LnA,A,LnC
data,D,-3.30195674184277,27.165743294533,-3.4067643307421
data,C,-3.8234670164157,45.7625932626674,-6.24582050922567
data,D,-3.70746176429424,40.7502414284656,-4.39639354253201
data,D,-1.82927364727506,6.22936030202801,-3.18986844981823
data,D,-2.52238506461157,12.4582750480146,-3.96200410940871
data,D,-4.35513170404229,77.8770813878518,-6.06740499922443
data,C,-0.946567027519729,2.57684820847478,-1.79420867732306
data,D,-0.0608176338712627,1.06270509510053,-0.9642941408867
data,C,-4.36174310145705,78.393663505574,-6.96685659938115
data,B,-2.65277031922369,14.1933042146962,-3.09273377727002
data,D,-3.85479302199501,47.2188426679265,-5.11850567809665
data,D,-2.40978082884268,11.1315211693115,-3.4794832433882
data,C,-4.75535501370536,116.20490017453,-7.91309971980684
data,E,-3.45616915252912,31.6953236961269,-4.17537168350201
data,D,-4.5914772133966,98.6400349718818,-6.55839881775834
data,E,-2.60024379977792,13.4670208915082,-2.39399310393105
data,C,-2.34573167701638,10.4409093068234,-2.84552332591342
data,C,-4.80708123452258,122.373914987909,-8.31329556530826
data,D,-4.04056481932967,56.8584484884215,-4.88789309481139
data,C,-3.02460516853085,20.585875155068,-3.44016034045878
data,D,-4.12071849075306,61.6034879038989,-4.13682047826653
data,C,-4.30057409068583,73.742116212024,-5.36222338606883
data,D,-2.09259288163148,8.10590559341576,-2.95155075473338
data,C,-4.27413898181697,71.8182758393231,-5.9386469416162
data,D,-2.85252690491803,17.3315216614324,-3.73032132294451
data,C,-1.88220954505371,6.56800113563086,-2.98207105968204
data,C,-1.2251036108258,3.40451880952266,-2.61773300896807
data,C,-2.35664542088385,10.5554827923458,-3.00497464664515
data,D,-3.68898435172101,40.0041961243609,-5.33112810196001
data,C,-1.02291948818709,2.78130290336772,-1.87495401061509
data,C,-4.20182300325177,66.8080113173322,-5.42155531160538
data,C,-4.64142302301812,103.691798461403,-5.88785935453788
data,C,-3.47021226613165,32.143564710798,-4.36723340179646
data,D,-3.58020741231786,35.8809822330106,-4.23785938137382
data,B,-5.15234257866262,172.835898140465,-10.0941477244605
data,D,-3.41107044990268,30.2976590332727,-3.34077121655102
data,C,-4.24615496978904,69.8363724829282,-5.00288512203568
data,C,-0.396308735242176,1.48632812859691,-1.51288103799822
data,D,-4.28918121029907,72.9067487590027,-5.91476831871614
data,C,-4.49008248444202,89.1287973145795,-6.91963173671162
data,C,-1.98437614029535,7.27450769731291,-3.05810972321459
data,D,-2.40894149354663,11.1221820105864,-2.04881081259644
data,C,-4.07211268308237,58.6808056706399,-7.35792169434541
data,C,-3.89730181080183,49.2693316198318,-5.43194371194543
data,C,-3.65428150205802,38.6397485592756,-5.49536916001992
data,D,-2.63564161916413,13.9522616303223,-4.79362989621918
data,D,-2.03336738037396,7.63976910126307,-3.6332587687478
data,D,-2.33115565636724,10.2898261675723,-2.76250730016652
data,C,-4.26022052348026,70.8256004401578,-5.4346262444072
data,D,-3.43858999706626,31.143015452757,-5.18496601300756
data,C,-3.51252169230254,33.5327204604285,-3.78782220765067
data,D,-2.06025545756437,7.8479743786865,-2.11946957309529
data,D,-4.06602402907568,58.3246040427288,-6.79864418325311
data,C,-2.63491384975948,13.9421112951817,-4.09215641394516
data,C,-2.19619088345958,8.99070156180755,-2.91617210266735
data,C,-2.19189178127557,8.95213258248253,-2.77839058591019
data,D,-4.04770264373722,57.2657459895737,-5.23188114407196
data,C,-4.09457843864304,60.0140342263296,-6.27696768921729
data,C,-4.42176618424301,83.2431783900904,-6.72583319509058
data,C,-2.68541947422089,14.6643514076652,-3.68268362006525
data,D,-3.85566211733055,47.2598981818326,-5.93799443087216
data,C,-3.91910702022782,50.3554582893714,-7.08447547125751
data,C,-4.55617093583575,95.218184368956,-6.65254073316545
data,C,-3.01202298165881,20.3284825038353,-3.63119629732541
data,D,-2.89953593697661,18.1657133772346,-3.3718067422397
data,C,-3.12746461783436,22.8160587193897,-3.96872773513583
data,C,-3.94764032573908,51.8129607625062,-3.96031376342318
data,C,-4.64502534235481,104.066003029571,-6.15957929545811
data,D,-5.17859011898247,177.432475883831,-8.56466592992221
data,C,-5.27522479512744,195.434404276807,-11.7618767708761
data,C,-3.27750456476376,26.5095372577481,-2.99656408808696
data,C,-3.83065013220653,46.0924947106148,-5.3121437525728
data,D,-2.69168032834451,14.7564507821757,-2.91362762359966
data,D,-2.06164097905445,7.85885545208159,-2.15099350136072
data,D,-5.3733377538292,215.581225247178,-9.90334365557204
data,C,-4.17946271682008,65.3307426735328,-6.33793262551942
data,E,-4.32387135500649,75.4802743330222,-5.02272154563642
data,D,-2.86327518529441,17.5188104286401,-2.05139586443066
data,C,-3.65415663972932,38.634924211486,-6.09784111213169
data,D,-2.62061881878039,13.7442261392934,-2.32096973423152
data,D,-4.4322892890656,84.1237802889391,-5.38949995817696
data,C,-4.24104578863304,69.4804757492628,-6.49733047018186
data,C,-3.43235831691232,30.9495455886799,-4.0539958098807
data,C,-2.22990581686274,9.2989902301659,-3.84389684498575
data,C,-2.72204779178235,15.2114402348083,-3.14896437579748
data,C,-3.76790436313171,43.2892511621096,-4.69076752049963
data,D,-2.79686097606929,16.3931075650711,-3.29617426440768
data,C,-4.47126173462457,87.4670135796372,-6.15547935553743
data,D,-4.24891774272368,70.0295812958208,-4.83497848577674
data,D,-3.37983159604638,29.3658253757655,-3.32204682188658
data,D,-4.09267548987222,59.8999391866049,-5.67190059215486
data,B,-3.93065648026156,50.9404080672145,-5.48401825655992
data,C,-3.87335355586255,48.1034334404508,-4.25007865992156
data,D,-3.69545408454102,40.2638516301296,-4.62162920370052
data,C,-3.52860395514659,34.076362262723,-3.97781750786117
data,C,-4.45667026693958,86.2000076950686,-6.25914197155825
data,C,-3.8794800683266,48.3990443322692,-4.07866646750941
data,D,-3.18700494761534,24.2157911595961,-4.64068260515822
data,C,-2.29845360046936,9.95877030349121,-3.18597972549447
data,C,-3.9176102467454,50.2801439530205,-5.74715281462065
data,D,-3.38593921427121,29.5457294595018,-3.84183955231204
data,D,-3.91795670311929,50.2975668473351,-5.21675590722929
data,D,-1.20532081496641,3.3378297320507,-1.67040806186505
data,C,-3.77170328881022,43.4540165775814,-4.68177218781992
data,D,-2.04071722152442,7.6961270478558,-2.97157163927275
data,C,-3.63890327151094,38.0500832231745,-4.65406152488778
data,D,-3.68294431543976,39.7632975787173,-3.61637638615332
data,D,-2.50935352853698,12.296977845089,-3.1041783008299
data,C,-3.96761736031624,52.8584380703425,-5.01525125065222
data,C,-3.19416738400516,24.3898578500634,-3.7193904673867
data,C,-4.51814548863796,91.6654456417525,-7.45321438964879
data,D,-3.58482998524928,36.047228637266,-3.22557025732857
data,D,-1.50727625492726,4.51441790980909,-1.24145168311367
data,D,-1.64298119080296,5.17056098723478,-1.20435911440729
data,D,-3.96697803634583,52.8246552040941,-4.66811083074186
data,C,-2.42600169774494,11.3135565092147,-2.56113673238446
data,C,-4.2000337355659,66.6885807799888,-4.52949957950302
data,B,-2.95393909918996,19.1813623986958,-3.82149814320636
data,C,-2.09014877650206,8.08611809918463,-1.94587986067264
data,D,-1.77561536829605,5.90391309965103,-1.80299785292462
data,D,-2.93259668581932,18.7763234620189,-4.37512621735959
data,D,-3.04247657206324,20.9570807396268,-2.78694193916353
data,C,-3.87952840451223,48.4013838140008,-4.83784557358835
data,C,-4.25038262654712,70.1322416710271,-5.52482043582998
data,E,-4.2277444192812,68.5624095829714,-4.70571693304428
data,C,-3.87489235667387,48.1775120243313,-4.01218631052474
data,C,-3.50815721987899,33.3866867385802,-3.76886953131578
data,C,-1.79298541111415,6.00736016196016,-2.73915807973887
data,C,-3.33710851104962,28.1376492646777,-3.60247680194522
data,C,-2.56101628676673,12.9489704980683,-2.93382266086647
data,D,-3.43100968223093,30.9078340912339,-4.79741012842625
data,C,-2.76932884468568,15.9479268812442,-3.20263679786503
data,C,-3.22487416112346,25.1504090574561,-4.59686460531291
data,D,-4.48408706067913,88.5960310807315,-6.28992750082554
data,D,-3.7529169411406,42.6452945657909,-3.84651125397088
data,C,-1.54967462840181,4.7099374533744,-2.28226484547922
data,D,-5.04017220002981,154.496617057453,-6.94446107267503
data,C,-4.7546593677813,116.124090819977,-7.94483476816056
data,D,-1.80565797252796,6.08397321908744,-3.21259874288699
data,C,-4.58196740590759,97.7064334499192,-7.03846562453828
data,D,-4.78549329236623,119.760425418797,-7.7118472734477
data,E,-3.94735055047897,51.7979488234732,-4.24023359296684
data,C,-3.1683805940529,23.7689615751058,-4.383061795185
data,C,-2.82927096127132,16.9331114294653,-4.32560928703749
data,C,-3.83104972303352,46.110916529044,-5.26617746137162
data,D,-4.78579994656366,119.797156087456,-7.17296959509048
data,D,-3.21624337675881,24.9342753435939,-3.58376339035573
data,C,-3.81310165343734,45.2906972842844,-4.97892273741513
data,C,-2.66753704236385,14.4044479220627,-2.48323456845763
data,D,-3.40071009725321,29.9853850288447,-3.70276384910702
data,B,-2.30433406277956,10.0175050012521,-3.7963109770871
data,B,-2.71893695857052,15.1641935077715,-3.07574927271706
data,B,-3.75754348587091,42.8430520427948,-3.72197541158598
data,C,-3.96364923823665,52.6491049395314,-5.67563263692034
data,D,-3.27592102040211,26.4675914497828,-5.99943881692173
data,E,-3.70887666056524,40.8079396019445,-3.92843222165068
data,D,-3.65158589087258,38.5357310791835,-3.56063916844105
data,D,-4.29126898213324,73.0591204188666,-4.70322563836189
data,D,-2.21661523115372,9.17621886238346,-2.49432730508629
data,D,-2.94204870952697,18.9546391108252,-2.66984922332077
data,D,-3.42292753951474,30.6590393167902,-4.02852327785362
data,D,-4.37408659830693,79.367312196664,-5.51625442641672
data,D,-4.64911992478831,104.492983414142,-7.56336098941363
data,D,-4.00236284066286,54.7273092934442,-4.9210943208736
data,D,-1.24531019732973,3.47401226154222,-1.04066850350521
data,D,-1.90331865502809,6.70811947770231,-2.17420825151332
data,D,-3.10858031576714,22.3892361816824,-5.18269932937116
data,D,-4.85865382793833,128.850630186269,-8.11003830826608
data,C,-3.53395724371794,34.2592720108953,-5.0669330997706
data,C,-4.85203660299759,128.000811404552,-7.57064111593208
data,D,-2.53930735287015,12.6708914740261,-2.43837701311642
data,D,-2.40886837436956,11.1213687955218,-2.62341370154421
data,D,-4.38604175110136,80.3218550245071,-4.70209204362913
data,C,-2.69502542530873,14.8058951929585,-3.96243030964743
data,C,-0.350379168594413,1.41960571646276,-0.839705373879623
data,C,-3.85620164637314,47.2854031491681,-3.89928255837476
data,C,-3.05486692135645,21.218361628232,-5.39062460927362
data,D,-4.56084346352757,95.6641350192143,-6.03930083962221
data,C,-3.62397911124067,37.4864341392712,-3.50168128376955
data,D,-4.95590502440269,142.011071717411,-7.99311565356115
data,C,-2.58311383608651,13.2382959307196,-3.62203935001379
data,C,-3.54582743311453,34.6683592262147,-4.28013789149534
data,D,-4.20093412802259,66.748653715621,-5.91689755118493
data,D,-0.784746461414597,2.19185115143883,-2.46407740238755
data,B,-3.28078167981534,26.5965545662951,-3.9910863617271
data,D,-3.52559445443747,33.9739635880571,-3.33735696542262
data,C,-2.65062620312149,14.1629047242507,-3.08971316255226
data,D,-2.74553914546845,15.573007785805,-2.85133337460094
data,D,-3.7386297274139,42.0403439476795,-5.02047288505242
data,C,-3.53371536660618,34.2509864792107,-4.46920491939414
data,C,-2.54463065739593,12.7385223380901,-3.52894942485917
data,D,-3.93708876556971,51.2691273804442,-4.34474903100907
data,D,-4.02511832282048,55.9869329215562,-4.62163991068006
data,D,-4.59379572465559,98.8689983280458,-6.56410391902225
data,B,-3.48627356645186,32.6640004061633,-3.84351625660756
data,C,-3.38350944351261,29.4740272552552,-5.00225771290921
data,C,-4.91275811999029,136.014040583299,-8.62703396048359
data,C,-2.40514563531276,11.0800438103359,-3.33129390674316
data,C,-3.88775668251041,48.8012868559506,-5.29468481029238
data,C,-3.31922833502304,27.6390142680331,-4.24075877242513
data,C,-3.37138701723037,29.118887459676,-4.30306646721064
data,C,-2.84892971670708,17.2692889145922,-3.94843961183461
data,C,-5.07475732993839,159.933376227604,-9.28927176353404
