---
source: R[v4.3.1]::data.table[v1.14.8]::fwrite
creation_time_utc: 2023-09-17 13:06:41
schema:
  fields:
  - name: CL
    type: character
  - name: SC
    type: factor
  - name: GSC
    type: factor
  - name: LnA
    type: numeric
  - name: LnVRMS
    type: numeric
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
CL,SC,GSC,LnA,LnVRMS
data,D,DE,-3.65358492662805,-5.23643760602185
data,D,DE,-4.14507481796301,-5.84810841656613
data,C,BC,-2.98130609721541,-4.46944380953311
data,C,BC,-3.19910915412832,-4.94901710099549
data,D,DE,-0.668795959742359,-2.32128477153903
data,D,DE,-3.96753221481441,-6.53202353233947
data,D,DE,-3.96871641483191,-5.32537699326299
data,D,DE,-3.8808084378665,-5.71705330631059
data,D,DE,-2.92902258098521,-5.1877972876761
data,C,DE,-5.03968526014993,-6.74641037152468
data,D,DE,-2.94600819636277,-3.37832979349406
data,C,BC,-4.88643429816573,-6.51186378930376
data,D,DE,-4.19543942063946,-6.72715081178636
data,C,DE,-4.20388380084241,-7.29425542764492
data,D,DE,-5.54616922680952,-7.4339710172909
data,D,DE,-2.68669309320535,-3.1516766006687
data,D,DE,-2.2970702557822,-3.58485539545179
data,C,BC,-2.78898960246325,-4.33230929166965
data,D,DE,-2.93944157899643,-4.03262421236261
data,D,DE,-3.68080357611353,-3.92893848903805
data,C,BC,-3.65428150205802,-5.81914072793231
data,C,DE,-2.16064514534939,-4.12216004401456
data,B,BC,-4.93208494982955,-5.17580745732825
data,B,BC,-4.39217665056498,-4.9667097174348
data,B,BC,-4.34421510110629,-4.73544487654751
data,C,BC,-2.61870779391934,-4.14577306743726
data,D,DE,-4.60686036311328,-6.00111651505199
data,D,DE,-2.51944681096884,-5.56522801972892
data,C,BC,-3.06743330072426,-4.82556853473957
data,D,DE,-2.11911595243444,-2.5763471739745
data,D,DE,-2.75350465516833,-4.12269411553385
