---
source: R[v4.3.1]::data.table[v1.14.8]::fwrite
creation_time_utc: 2023-09-17 13:06:41
schema:
  fields:
  - name: CL
    type: character
  - name: SC
    type: factor
  - name: GSC
    type: factor
  - name: LnA
    type: numeric
  - name: LnD
    type: numeric
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
CL,SC,GSC,LnA,LnD
data,C,DE,-5.17832057504503,-5.33380221761779
data,C,DE,-2.67037190251219,-6.54181008510055
data,C,BC,-1.85483321066523,-2.7968332808956
data,C,DE,-4.57944600318757,-5.70586221876297
data,D,DE,-2.42921060825589,-3.52340164818959
data,C,BC,-2.97159512320008,-5.21789589301509
data,C,DE,-4.39068689433623,-4.83397285143871
data,C,DE,-4.011682427603,-4.95219276191154
data,B,BC,-4.43642824075227,-5.98461337493003
data,B,BC,-3.68585749712436,-6.52286335417912
data,D,DE,-1.73217447885774,-2.88612183232384
data,C,DE,-2.61757143407478,-6.24466691577469
data,C,DE,-1.72048039415904,-4.74831306754962
data,C,DE,-2.71899508827685,-4.76690464057188
data,C,DE,-3.66645607868741,-4.22329128006195
data,D,DE,-2.5548451949885,-3.75429924783153
data,D,DE,-3.51524123077264,-4.3894536880067
data,C,BC,-3.05736945023232,-4.13048375750932
data,D,DE,-5.06908524004724,-8.21085734280618
data,D,DE,-4.25960648268953,-7.75739998475367
data,D,DE,-2.06164097905445,-3.41759060769155
data,C,BC,-5.02724529747181,-5.69956978889822
data,C,DE,-2.88388213032259,-5.7657053352966
data,C,DE,-4.70554185878694,-6.15057504546807
data,C,BC,-3.68150710220253,-7.34923570990012
data,E,DE,-3.9243260205114,-3.87934954412776
data,D,DE,-2.32019179202318,-4.52671988361499
data,D,DE,-4.19482787392599,-5.73308060464941
data,D,DE,-0.553353794989292,-2.1345021470789
data,D,DE,-2.61263483318219,-4.31359534836233
data,C,DE,-4.49084631366276,-5.32729028246481
data,D,DE,-2.12833858584679,-2.44682166041247
data,D,DE,-3.54751676112694,-5.74320958796624
data,C,DE,-4.02539617739216,-7.12369459388458
data,D,DE,-4.67138500608332,-6.36193288023376
data,C,DE,-2.57164512551749,-3.88824269943225
data,D,DE,-3.96063103102842,-7.0701784051862
data,C,DE,-3.52860395514659,-4.53769383094071
data,C,DE,-4.13918893100848,-5.4586990000285
data,B,BC,-4.57426244808077,-4.62253824017182
data,D,DE,-2.92724781581237,-5.6320846682127
data,C,BC,-3.97609874484583,-5.26362567860061
data,B,BC,-3.78747436499966,-5.21342718634363
data,C,BC,-1.76648341215572,-1.07667770487298
data,C,BC,-3.43433676388778,-4.83145685895762
data,C,DE,-3.26895392967655,-4.74987168111489
data,C,BC,-4.31873572258679,-4.5172369190154
data,D,DE,-3.92870727213014,-7.26682470341879
data,D,DE,-4.74648653432499,-7.01641745239712
data,D,DE,-5.17659213134651,-6.01771760637427
data,D,DE,-1.89795891087035,-5.40480049878383
data,C,BC,-2.36337891251112,-4.14572729198913
data,C,DE,-4.10463563847653,-5.08425955728835
data,C,DE,-5.74398327902326,-8.56578994751796
data,C,DE,-4.50469540062934,-7.56562412897787
data,D,DE,-1.50727625492726,-1.62415919800055
data,C,DE,-5.55658268782256,-8.20817152080227
data,D,DE,-5.73401280371389,-6.17853718365629
data,C,BC,-2.86622591434202,-5.51225362351654
data,C,BC,-2.79336187050597,-5.90890510328858
data,D,DE,-3.0814242372017,-4.99859740244413
data,C,DE,-2.07666375513166,-3.4525583350763
data,D,DE,-3.00925163128373,-3.58669895344487
data,C,DE,-3.09799717994573,-5.69235622539205
data,C,BC,-2.36673769940617,-1.47838096166526
data,C,BC,-2.65995278891914,-4.96321400020885
data,C,BC,-4.05242915237634,-4.81650449133364
data,D,DE,-2.58358746758574,-3.51363429369929
data,D,DE,-4.1897785292701,-5.82230206142275
data,D,DE,-4.39158885782594,-4.27956987744422
data,C,DE,-3.06939874809789,-3.79629073890981
data,C,BC,-1.1355089701152,-2.09112075923338
data,D,DE,-3.2264375841722,-6.66979151100144
data,C,BC,-1.83054543279179,-3.17921794455464
data,D,DE,-4.17647250333905,-6.55367228240288
data,D,DE,-4.31154071114798,-7.17449664849969
data,D,DE,-3.29564702828435,-3.68807590758093
data,C,BC,-3.32138135955255,-4.47548900244134
data,C,BC,-3.26013704451655,-6.19917535728726
